Instance,iteration,violations,cost,Institution,Rank
m10.json,2,0,26133,Ortec,24.5
m10.json,3,0,26133,Ortec,24.5
m10.json,4,0,26133,Ortec,24.5
m10.json,5,0,26133,Ortec,24.5
m10.json,6,0,26133,Ortec,24.5
m10.json,7,0,26133,Ortec,24.5
m10.json,8,0,26133,Ortec,24.5
m10.json,9,0,26133,Ortec,24.5
m10.json,10,0,26133,Ortec,24.5
m10.json,10,0,26134,Twente,30.0
m10.json,8,0,26135,SDU,31.5
m10.json,16,0,26135,UGent,31.5
m10.json,1,0,26150,Twente,33.0
m10.json,8,0,26156,V777V,34.0
m10.json,3,0,26159,V777V,35.5
m10.json,10,0,26159,V777V,35.5
m10.json,8,0,26171,Twente,37.0
m10.json,10,0,26173,SDU,38.0
m10.json,2,0,26174,Twente,39.5
m10.json,9,0,26174,Twente,39.5
m10.json,2,0,26190,SDU,41.0
m10.json,1,0,26192,SDU,42.0
m10.json,1,0,26225,V777V,43.0
m10.json,7,0,26229,SDU,44.0
m10.json,9,0,26234,V777V,45.0
m10.json,2,0,26242,V777V,46.0
m10.json,4,0,26273,V777V,47.0
m10.json,3,0,26286,SDU,48.0
m10.json,25,0,26318,UGent,49.0
m10.json,4,0,26335,SDU,50.0
m11.json,24,0,35030,UGent,1.0
m11.json,1,0,35036,Ortec,6.5
m11.json,2,0,35036,Ortec,6.5
m11.json,3,0,35036,Ortec,6.5
m11.json,4,0,35036,Ortec,6.5
m11.json,5,0,35036,Ortec,6.5
m11.json,6,0,35036,Ortec,6.5
m11.json,7,0,35036,Ortec,6.5
m11.json,8,0,35036,Ortec,6.5
m11.json,9,0,35036,Ortec,6.5
m11.json,10,0,35036,Ortec,6.5
m11.json,25,0,35131,UGent,12.0
m11.json,7,0,35171,V777V,13.0
m11.json,4,0,35174,V777V,14.0
m11.json,5,0,35175,V777V,15.0
m11.json,2,0,35179,V777V,16.0
m11.json,1,0,35183,V777V,17.0
m11.json,9,0,35186,V777V,18.0
m11.json,10,0,35213,V777V,19.0
m11.json,3,0,35233,V777V,20.0
m11.json,8,0,35237,V777V,21.0
m11.json,20,0,35264,UGent,22.0
m11.json,21,0,35266,UGent,23.0
m11.json,17,0,35269,UGent,24.0
m11.json,1,0,35280,Twente,25.5
m11.json,3,0,35280,Twente,25.5
m11.json,9,0,35283,Twente,28.0
m11.json,6,0,35283,V777V,28.0
m11.json,23,0,35283,UGent,28.0
m11.json,5,0,35291,Twente,30.0
m11.json,4,0,35296,Twente,31.0
m11.json,6,0,35324,Twente,32.0
m11.json,10,0,35331,Twente,33.0
m11.json,22,0,35345,UGent,34.0
m11.json,8,0,35367,Twente,35.0
m11.json,18,0,35368,UGent,36.0
m11.json,16,0,35373,UGent,37.0
m11.json,19,0,35382,UGent,38.0
m11.json,2,0,35391,Twente,39.0
m11.json,7,0,35417,Twente,40.0
m11.json,1,0,36032,SDU,41.0
m11.json,2,0,36063,SDU,42.0
m11.json,8,0,36069,SDU,43.0
m11.json,5,0,36082,SDU,44.0
m11.json,4,0,36112,SDU,45.0
m11.json,10,0,36144,SDU,46.0
m11.json,7,0,36173,SDU,47.0
m11.json,6,0,36224,SDU,48.0
m11.json,3,0,36268,SDU,49.0
m11.json,9,0,36317,SDU,50.0
m12.json,3,0,11681,SDU,1.0
m12.json,10,0,11734,SDU,2.0
m12.json,18,0,11737,UGent,3.0
m12.json,4,0,11768,SDU,4.0
m12.json,5,0,11775,SDU,5.0
m12.json,1,0,11780,SDU,6.5
m12.json,21,0,11780,UGent,6.5
m12.json,7,0,11796,SDU,8.0
m12.json,8,0,11798,SDU,9.5
m12.json,17,0,11798,UGent,9.5
m12.json,24,0,11801,UGent,11.0
m12.json,6,0,11815,SDU,12.0
m12.json,9,0,11820,SDU,13.0
m12.json,19,0,11832,UGent,14.0
m12.json,2,0,11834,SDU,15.0
m12.json,2,0,11862,V777V,16.0
m12.json,20,0,11899,UGent,17.0
m12.json,16,0,11911,UGent,18.0
m12.json,3,0,11930,V777V,19.0
m12.json,22,0,11939,UGent,20.0
m12.json,6,0,11944,V777V,21.0
m12.json,23,0,11948,UGent,22.0
m12.json,25,0,11969,UGent,23.0
m12.json,4,0,11981,V777V,24.0
m12.json,1,0,12035,Ortec,29.0
m12.json,2,0,12035,Ortec,29.0
m12.json,3,0,12035,Ortec,29.0
m12.json,5,0,12035,Ortec,29.0
m12.json,6,0,12035,Ortec,29.0
m12.json,7,0,12035,Ortec,29.0
m12.json,8,0,12035,Ortec,29.0
